text;dialogtype
Have you investigated the Cursed Cave of Fear?  The Ezrohir used it as a base of operations during the Ember Wars, and parts of it are still intact.;passive
The Alchemist's goal all along may have been to capture the Guardian of Mana.  But that does not explain why he has yet to mobilize the Ezrohir against me.;passive
I heard the Sphinx sent you to kill the Manticore in the Stygian Aerie.  I'm guessing you were successful?;passive
"The Empty Quarter sealed is still closed off; we're expecting the Ezrohir to attack from that direction.  If the Guardian gives you leave, then I can allow you to pass.";passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
When the siege begins, will you be here to help defend the city?;passive
Repairs are going a lot faster now ... but it's still going to take time.;passive
Is Fazeer Shah insane, or he is deliberately delaying you?  Is this some petty vengeance for Malik Vosh imprisoning him, so long ago?;passive
The djinn aren't like humans, or Zeraphi, or even the Guardians.  Theirs is an ancient magic, that doesn't follow any understood rules of alchemy or elementalism.;passive
The Salt Barrens used to be a harbor town, until Fazeer Shah and Ezrek Khan started fighting.  Remember that, if you ever start thinking that either of those djinn are on your side.;passive
You've been out there.  You've faced the Ezrohir ... seen the strength of their army.  Do you think we have a chance?;passive
Did you investigate the Ancient Vaults of Chaos?  Did you find anything there that might help you rescue the Guardian ... or help us hold off the Ezrohir?;passive
If the Alchemist is doing all of the planning for the Ezrohir, he may be stalling until I leave the city ... whereupon he will surely arrange to ambush me.;passive
"What a strange set of tasks for the djinni to assign you.  He's up to something; he's got ulterior motives in all of this.";passive
There have been strange lights coming from the direction of the Salt Barrens.  Did the djinni have something to do with that?;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
The siege will begin soon.  I hope we're ready for it.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
I knew that boiler was dodgy!  I can fix it, but it'll take time ...;passive
I am confident that, should it come to war, the Guardians will be more than able to defend the city.;passive
I've heard that the Ezrohir are massing by the Forsaken Gate.  I wonder how they got past the Sphinx?;passive
The Guardian of Air will be able to provide us some support, but only inside the city walls.  If it should fall while flying outside, we won't be able to reach it for a rescue.;passive
Zeryphesh is my home.  If it's destroyed by the Alchemist and the Ezrohir, I will die with it.;passive
I'm actually rather surprised the Ezrohir have been able to move about the Ossean Wastes at all, with the Manticore making its lair out there, in the Stygian Aerie.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
The Guardian of Air has ordered the gate to the Empty Quarter sealed.  If the Guardian gives you leave, then I can allow you to pass.;passive
If you haven't yet spoken to the Guardian of Air, I must caution you:  The Ossean Wastes are not safe during this siege.  If you get into trouble, we cannot send a rescue party.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
Do you think there's a connection between that business with the Guardians in Estheria and the Ezrohir suddenly deciding to attack us again?;passive
I'd heard you were headed down to Zeryphesh, to look for the Alchemist.  What are you doing back here?;passive
Weren't you going to Zeryphesh?  Is the Alchemist not there?;passive
I am deeply troubled by those notes you found in the Icedeep Caverns.  I have notified the Enclave that I will remain here, to guard the caves, and prevent any of the Alchemist's notes and paraphernalia from being lost.;passive
I contacted the Commander, and she's sending a team to secure the caverns until we can do a more thorough sweep of the place.  If we find anything that might help with the Alchemist, we'll send word.;passive
I can help, but I need more time to finish repairs.  Can you buy me half a day?  Maybe a little more?;passive
Why can't Fazeer Shah just open a portal into the heart of Riftkeep?  You could rescue the Guardian of Mana and be out before the Ezrohir knew you were there!;passive
The djinn aren't like humans, or Zeraphi, or even the Guardians.  Theirs is an ancient magic, that doesn't follow any understood rules of alchemy or elementalism.;passive
The Salt Barrens used to be a harbor town, until Fazeer Shah and Ezrek Khan started fighting.  Remember that, if you ever start thinking that either of those djinn are on your side.;passive
It's very brave of you to face the challenges of the djinni, on our behalf.;passive
Did you investigate the Ancient Vaults of Chaos?  Did you find anything there that might help you rescue the Guardian ... or help us hold off the Ezrohir?;passive
Enslaved to the Ezrohir, the Guardian of Mana is a potent weapon.  We must do whatever it takes to release her from their control.;passive
Fazeer Shah sent you to wipe out the Tu'tara?  I don't understand.  Why would he do that?;passive
You were in some sort of Nether-version of the Empty Quarter?  That's … unsettling, because there was a strange, cold wind blowing out of the Empty Quarter while you were gone.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
The siege will begin soon.  I hope we're ready for it.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
Repairing the boiler's the easy part ... but if any of those valves are damaged, we might be stuck here.;passive
The story of the Guardian's disappearance is spreading.  Just what did happen out there?;passive
Keep your eyes open for the Manticore, particularly around the Stygian Approach.  It likes to hunt the Wastes from the air.;passive
Any sign of Ezrohir troop movement out there?  Are they mobilizing yet?;passive
Zeryphesh is my home ... and I'm going to fight to keep it that way.;passive
There's a rumor that the Guardian of Mana has fallen in battle.  Is this true?;passive
Without the Guardian of Mana, the coming battle will play out very differently.;passive
We're seeing a few troops coming back in from out of the Ossean Wastes.  They say you're doing good work out there.  Keep it up!;passive
The Guardian of Air has ordered the gate to the Empty Quarter sealed.  If the Guardian gives you leave, then I can allow you to pass.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
The Ezrohir must be involved somehow in the disappearance of the Guardian.  It's the only explanation that makes sense.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
I wish I could help, but this Embercraft is my only real weapon ... and it's not going anywhere, anytime soon.;passive
Getting into Riftkeep to rescue the Guardian of Mana won't be easy.  You'll almost certainly have to use the Witherways, which means fighting your way through a host of Ezrohir warriors.;passive
If you can't find anything of value in the shipwrecks of the Sand Shoals, it could be that something else out there has already been there, looting.  The Ezrohir, perhaps?;passive
How's it look in the Salt Barrens?  Any sign of the Ezrohir advancing toward the city?;passive
If you defeat the Ezrohir at Riftkeep, and free the Guardian of Mana, this war will basically be over.  Do you think you can do it?;passive
The Ancient Vaults of Chaos are full of old artifacts ... things we Zeraphi sealed away, lest they fall into the wrong hands.  The Ezrohir are almost certainly there, looting the place, as we speak.;passive
Without the Artificer, the Ezrohir may have to rely on the Alchemist to do their planning, and he seems like he has an agenda very different from theirs.;passive
How are things going with Fazeer Shah?;passive
Is Fazeer Shah as mad as they say?;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
The siege will begin soon.  I hope we're ready for it.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
Of course you have to break down in the desert in the hottest part of the year ...!;passive
Why have the Ezrohir not attacked yet?;passive
What if this is another of the djinni's tests?  What if Fazeer Shah wants the Guardian of Mana to die?;passive
What did you learn from Fazeer Shah?  Can you free the Guardian?;passive
You've been out there.  You've faced the Ezrohir ... seen the strength of their army.  Do you think we have a chance?;passive
Did you investigate the Ancient Vaults of Chaos?  Did you find anything there that might help you rescue the Guardian ... or help us hold off the Ezrohir?;passive
"It cannot be much longer now.  A confrontation of some kind is inevitable; it merely remains to be seen where, exactly.";passive
I have honored my bargain!  To trouble me further is to invoke my wrath!;passive
Is that it, then?  No more crazy djinni errands?  Now you can go rescue the Guardian of Mana?;passive
Sounds like you're in the final stretch.  Good luck.  We know you'll do your best.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
This is the burden of immortality:  You live long enough to see the death of your entire civilization ...;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
I wish I could help, but this Embercraft is my only real weapon ... and it's not going anywhere, anytime soon.;passive
Have you face Tu'tara before?  They're nasty, savage lizard-men, who attack our caravans and steal our trade goods.;passive
The Zeraphi and Ezrohir were once one people.  But we differed, ideologically, and sought other means of attaining eternal life ...;passive
There's been activity in the Salt Barrens ... perhaps the Ezrohir took the Guardian there?;passive
The timetable for preparing the city's defenses has moved up dramatically in the past few hours.  If you can't actually rescue the Guardian, can you try to buy us some time?;passive
The Ancient Vaults of Chaos are full of old artifacts ... things we Zeraphi sealed away, lest they fall into the wrong hands.  The Ezrohir are almost certainly there, looting the place, as we speak.;passive
"Now we know why the Ezrohir haven't moved earlier;  they were waiting for the Artificer to finish forging the Guardian's bonds.";passive
I hear the Guardian of Air sent you out to the Salt Barrens, to negotiate with the djinni.  I'm glad it's you, and not me.;passive
I think you've pretty well proven yourself against the Artificer.  Still, an Ezrohir, even one as powerful as the Artificer, is a far cry from a djinni.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
The siege will begin soon.  I hope we're ready for it.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
I wish I could help, but this Embercraft is my only real weapon ... and it's not going anywhere, anytime soon.;passive
People are starting to say that the Guardian of Mana wasn't actually captured, but that it's in league with the Ezrohir.;passive
You'll be passing through the Sand Shoals, once you reach the Salt Barrens.  That entire area was the harbor for our ships, centuries ago.  Keep an eye open:  We didn't salvage everything, and you might find something useful.;passive
Good luck in the Empty Quarter.  We had to close access to it years ago:  It pretty much belongs to the Tu'tara now ... and a host of Dune Fiends.;passive
Quite a few Zeraphi soldiers have made it back from the Ossean Wastes, and they've got you to thank for that.;passive
Have you investigated the Cursed Cave of Fear?  The Ezrohir used it as a base of operations during the Ember Wars, and parts of it are still intact.;passive
"Now we know why the Ezrohir haven't moved earlier;  they were waiting for the Artificer to finish forging the Guardian's bonds.";passive
"There's been activity in the Salt Barrens; that must be where the rest of the Ezrohir are massing before the final assault.";passive
The siege will begin soon.  I hope we're ready for it.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
You killed the Manticore?  You must be more dangerous than you look.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
The Alchemist just murdered a lot of good people, for no reason at all!  You haven't talked to the Professor, have you?;passive
We've got a lot of injuries, here ... but it could've been a lot worse.  As powerful as the Alchemist is, we got real lucky.;passive
Are you sure you want to go out there?  Maybe you should have a word with Professor Stoker, first.;passive
Unless it's an emergency, I have to keep this gate closed.  If any of the ... things on the other side get in here, they'll finish what the Alchemist started.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
The Ezrohir are in flight, and word is getting back from Zeryphesh that their defeat is your doing, and that the Guardian of Mana is safe.  Outstanding work, human!;passive
Is it true?  The Ezrohir are defeated?;passive
I appreciate you coming all the way back here, but shouldn't you be going after the Alchemist?;passive
What in the name of the Guardians are you doing back here?  We've got the Estherian Steppes handled.;passive
Do not worry about us.  Zeryphesh is safe, now that you have rescued the Guardian of Mana from the Ezrohir.  Find the Alchemist.  Stopping him is the key to saving the world.;passive
She'll be ready to go when you are ... I promise!;passive
Why have the Ezrohir not attacked yet?;passive
What if this is another of the djinni's tests?  What if Fazeer Shah wants the Guardian of Mana to die?;passive
Do you think you can free the Guardian?  Or will saving the Zeraphi require destroying her?;passive
You've been out there.  You've faced the Ezrohir ... seen the strength of their army.  Do you think we have a chance?;passive
We will do whatever it takes to buy you the time you need.;passive
The time to strike is now!  The Ezrohir will not be expecting an attack inside their own stronghold!;passive
I have honored my bargain!  To trouble me further is to invoke my wrath!;passive
Do what you have to do, my friend.  Even if you cannot prevent the Ezrohir from attacking the city, you must save the Guardian of Mana.;passive
Sounds like you're in the final stretch.  Good luck.  We know you'll do your best.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
Good luck, human.  May your journey be swift, and your heart true.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Now that the Crab King is gone, the crabs should disperse, as well.  The Zeraphi will recover the weapons the Crab King gathered, and dispose of them safely.  At the very least, the Ezrohir won't be using them against Zeryphesh.;passive
No ... no ... no!  The welds aren't holding!  Come on, you miserable hunk of scrap!;passive
Zeryphesh is saved!;passive
You have done well, human.  The Zeraphi owe you a tremendous debt.;passive
Zeryphesh is saved!;passive
I am actually quite relieved that I was never called upon to fight ...;passive
The Alchemist must have fled when he saw that the Ezrohir could not further his goals.  He cannot be far ahead of you, now!;passive
I have honored my bargain!  To trouble me further is to invoke my wrath!;passive
My power is drained ... but it is the nature of magic that it will return to me sevenfold.;passive
Praise the day you came to our city!;passive
The people of Zeryphesh will long remember what you did here today.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
Well done, human. Well done.;passive
You have done the Zeraphi an amazing service ... and we will never forget.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
Is it true?  The Ezrohir are defeated?;passive
"It's good to see you again, my friend!  I know that I promised you a greater reward, should you come to visit ... but that was before I returned to the Ossean Wastes and found the Celestial Armory under siege by Ezrohir.
What if I give you your choice of artifacts from the Armory?  You have but to use the Golden Gear to get inside, then activate the Armory Portal, which will allow us to gather up the weapons and armor safely ... with the Ezrohir none the wiser!";intro
After the Zeraphi withdrew from the Ember Wars, we placed the vast majority of our weapons in storage, hoping we would never need them again.  Some of the best weapons and armor we had went into the Celestial Armory.  We sealed the Armory shut by means of the Golden Gear, then sent the Gear to the Estherians as a gesture of our peaceful intentions.  Sadly, the day has come when we need to open the Armory once again.  But the door was built to keep us out, at all costs, which is why the Ezrohir cannot get in ... and why the Golden Gear is so vital to us.;return
"Fantastic!  With access to the Armory again, we can arm ourselves for the impending battle!
As I told you in the Frosted Hills:  The Zeraphi people owe you a tremendous debt of gratitude, my friend!  Let us begin to repay that debt with this.";complete
Use the Golden Gear to unlock the Celestial Armory, in the Ossean Wastes.;details
Activate the Armory Portal in the Celestial Armory, and return to Ambassador Taldimut in Zeryphesh;details_complete
"- Enter the Tower of the Moon in the Ossean Wastes; eliminate any Ezrohir inside";huddetails
- Return to Commander Muzaffar in the Ossean Wastes;huddetails_complete
Find Hareph in the Salt Barrens and convince him to return to Zeryphesh.;details
Jasha sent you to find me? I am in both of your debts!;complete
"Have you found Hareph yet? 
He's my companion - we were made at the same time. Please, I have to know if he's okay!";return
"If you're heading out into the Salt Barrens, could you find out what happened to my companion Hareph?
He left with a crew to determine why the Skara have become so aggressive lately, but no one has come back.
If you travel North to the Swarm Stacks, you should be able to find him - or at least what happened to him.";intro
- Find Hareph in the Salt Barrens and convince him to return to Zeryphesh.;huddetails
"Greetings, my friend!  Welcome to Zeryphesh!  I am Malik Vosh.  I speak for the Zeraphi.
As you know, the Ezrohir are preparing to assault our city.  Our military leader, Commander Muzaffar, has apparently been captured by the Ezrohir, out in the Ossean Wastes.  They'll have sent for inquisitors to take their prisoners back to their stronghold.  Once they get him to Riftkeep, they'll identify him quickly enough, and then they'll interrogate him until they know everything about our defenses.
I believe you're going out to the Ossean Wastes.  Please, rescue Muzaffar. We need him.";intro
When we last heard from Muzaffar, he was surveying potential battle sites in the Ossean Wastes.  He believes that we can minimize the damage to the city if we take the fight to the Ezrohir ... but, without a suitable battlefield, we stand a better chance of surviving if we face them here.  We cannot make a final decision, though, until we hear from Muzaffar.;return
"My thanks, human!  From what these Ezrohir scum said, their torturers were on their way, and I had precious little hope of holding out against their methods ... let alone escaping.
I need to remain here, to ensure that these other captives make it safely back to Zeryphesh, but I have further need of you, if you have the time.";complete
Locate Muzaffar in the Ossean Wastes and free him from his Ezrohir captors.;details
- Locate Muzaffar in the Ossean Wastes;huddetails
- Free Muzaffar from the Ezrohir;huddetails_complete
Finally saved! Thank you! You look like a person who likes risk! I'm heading back to town now. Meet me there and see if your luck holds out!;complete
Defeat Captain Stillheart in Plunder Cove.;details
"I was a villain, in my time.  I broke into tombs and stole from the dead.  But, one day, I realized how much pain I had caused those still living ... and I swore it would stop.
My comrades ... my accomplices ... felt differently.  They lured me out into these desolate sands and left me to die.  My spirit has haunted this place ever since, bound here by the weight of my sins, hoping for vengeance.  But they perished elsewhere, beyond my reach, even though they are now spirits as well.";return
"I am merely spirit, but I mean you no harm.  In life, I was betrayed by comrades I had trusted.  Now I am trapped here, deprived of my rightful rest, for my death has gone unavenged these many years.
Now my betrayers are themselves dead.  Seek their leader, Captain Stillheart, through this portal, in Plunder Cove, and show him that justice can still find him!";intro
- Enter Plunder Cove via the portal in the Temple Steppes;huddetails
- Defeat Captain Stillheart;huddetails_complete
Use the explosives to blow up the Infected Skara Nests.;details
Enter the Skaran Hives.;details_complete
"Hoska is the only one who remains?
You must help him finish his task!";return
- Use the explosives to blow up the Infected Skara Nests.;huddetails
- Enter the |cFFD1FF7ASkaran Hives.;huddetails_complete
test;complete
Smash the Eggs in the Skaran Hive and destroy the corrupting influence, whatever it may be.;details
Return to Zeryphesh.;details_complete
"You have eliminated the problem! Wonderful!
If you hadn't been victorious, the blight might have spread to other hives in the barrens.
I've spoken to Jasha about your deeds, and she would like to invite you into our trading circle. You may now purchase rare items from her - at a discount, of course.
Thank you, traveler! You have done us a great service.";complete
- Smash the Eggs in the Skaran Hive and destroy the corrupting influence, whatever it may be.;huddetails
- Return to Zeryphesh.;huddetails_complete
Find and aid the missing crew.;details
You must find my crew!;return
