text;audiofile
I don't know if you've got what we're looking for... Jedi aren't generally suited to mercenary work. If you want, talk to Roland Wann at the Republic Embassy and see if he can find anything for you.;NM26AAREPN12009_.mp3
It's north of here, then east past the first courtyard. It's just off the north end of the second courtyard. You can't miss it.;NM26AAREPN12010_.mp3
Now if you'll excuse me, I have to continue my recruitments.;NM26AAREPN12011_.mp3
I'll be going now.;
Good. The longer I spend talking to you, the less time I have to talk to the mercs.;NM26AAREPN12013_.mp3
The second tomb on the left within the valley is the tomb of Naga Sadow. It is off-limits to all students, unless they are in the company of Master Uthar.;NM36AASITH07000_.mp3
Beware of the tuk'ata. They are a pack beast that have their nests in one of the tombs. We fight them off as best we can.;NM36AASITH07001_.mp3
There is an old Sith hermit that has been haunting this area, we understand. Watch out for him.;NM36AASITH07002_.mp3
A dangerous assassin droid has barricaded itself within the tomb of Marka Ragnos, the first one on the left. Be wary.;NM36AASITH07003_.mp3
Watch out for the tuk'ata. They will charge you on sight. Run back to the excavation area and we can protect you.;NM36AASITH07004_.mp3
Any artifacts found should be brought to the attention of Master Uthar immediately.;NM36AASITH07005_.mp3
I am not here to get you out of trouble if you do something stupid, student. Enter the tombs at your own risk.;NM36AASITH07006_.mp3
I will stay here in this chamber and use my Battle Meditation to aid the Republic fleet. I am their only hope of destroying the Star Forge and ending the Sith menace.;NM45AABAST01114_.mp3
You must go and face Malak, but you have to hurry. Once I turn the battle in the Republic's favor we won't have much time to escape the Star Forge before it is destroyed.;NM45AABAST01115_.mp3
Good luck, my love... and may the Force be with you.;NM45AABAST01116_.mp3
Good luck... and may the Force be with you.;NM45AABAST01117_.mp3
The Star Forge is under assault from the entire Republic fleet! If I don't use my Battle Meditation to turn the tide, Admiral Dodonna's capital ships will destroy the Star Forge.;NM45AABAST01166_.mp3
I have to stay here in the command center so that I can best use my Battle Meditation against our enemy. If I don't the Star Forge will be lost!;NM45AABAST01167_.mp3
You must go to face Malak without me. Find him, kill him and reclaim the title of Dark Lord of the Sith!;NM45AABAST01168_.mp3
Revan - I knew you'd come for me.;NM45AABAST01165_.mp3
I'm <FullName> now, Bastila. Revan is no more.;
Sadly, I know this is true. Had you reclaimed the power of your previous identity I would be your apprentice, not Malak's. But you rejected the dark side.;NM45AABAST01006_.mp3
Now you must pay the price. Here on the Star Forge the power of the dark side is at its strongest. This time you will not defeat me!;NM45AABAST01007_.mp3
I'll never give up on you, Bastila. I know you can still be saved.;
You are wasting your time. I have seen the Jedi for what they are: weak and afraid. The Sith are the true Masters of the Force. You have forgotten that lesson, Revan.;NM45AABAST01009_.mp3
You can't escape, Bastila! Wherever you run I'll hunt you down!;
I have no doubt of that. I was no match for you in the Temple, but when I fled I knew you would follow me here.;NM45AABAST01011_.mp3
I see now why Malak followed you. Even though you are only a shell of your former self, you are still a formidable opponent.;NM45AABAST01012_.mp3
I can't even imagine the power you must have wielded when you were the Dark Lord. You were a fool to give it all up and follow the light side.;NM45AABAST01013_.mp3
I am as strong in the light as I ever was following the dark side.;
The dark side has made me stronger than I ever was before! I have a greater command of the Force than all but the most powerful Jedi Masters.;NM45AABAST01015_.mp3
As Malak teaches me the greatest secrets of the Sith, I will unlock more of my potential. Eventually there will be no limit to what I can accomplish with the Force!;NM45AABAST01016_.mp3
Malak will never let you become that powerful. He will kill you first.;
Have you forgotten the ways of the Sith already, Revan? Eventually I will challenge my Master. If I am worthy he will die by my hand and I will become the new Sith Master.;NM45AABAST01018_.mp3
Then I will take on my own apprentice and the cycle will begin again. This is the way of the Sith, it is how we assure our leaders are always the strongest and most worthy!;NM45AABAST01019_.mp3
You're dooming yourself to an endless cycle of death and betrayal.;
No, Revan, it is you who are doomed!;NM45AABAST01021_.mp3
I won't let that happen! I'll kill you first!;
No, Revan. You are the one who will die here!;NM45AABAST01025_.mp3
You will accomplish death and destruction with the dark side, nothing else.;
Jedi propaganda. The dark side is only a tool, and Malak will train me in its use. Eventually I will surpass my Master and challenge him. If I am worthy he will die by my hand.;NM45AABAST01023_.mp3
You've been consumed by the dark side, Bastila. Can't you see it's destroying you?;
I'm still strong enough to defeat you, Bastila!;
Then it's time for you to prove it!;NM45AABAST01028_.mp3
You are growing weary, I can sense it! Your strength falters, the light side is failing you while the power of the Star Forge re-energizes me! Soon this will all be over!;NM45AABAST01029_.mp3
I have not faltered, Bastila. You have been misled by the dark side.;
The dark side will always triumph over the light! Malak has assured me of victory! You can't defeat me here on the Star Forge! YOU CAN'T!;NM45AABAST01031_.mp3
Then strike me down, Bastila. I won't defend myself.;
What type of trick is this?;NM45AABAST01036_.mp3
Remember what you once were, Bastila. A Jedi would never strike down a defenseless opponent.;
I am a Sith apprentice now. You place too much faith in what I used to be... and for that you shall pay!;NM45AABAST01039_.mp3
You are not evil, Bastila. You will not strike down a defenseless opponent.;
We meant something to each other, once. I don't believe you will strike me down.;
Your emotions get the better of you, Bastila. Remember the Jedi code.;
You dare spew those Jedi lies in my face? You will die screaming, Revan!;NM45AABAST01033_.mp3
You are the one growing weak, Bastila. I hear the desperation in your voice!;
No, this is not possible! You have rejected the dark side, you are a weak and pathetic servant of the light! How can you still stand against me? Why can't I defeat you?;NM45AABAST01041_.mp3
Now you see the dark side is not stronger than the light.;
Yes, I see you speak the truth. I am no match for you. Please, for the sake of what we once shared, do not make me suffer. End my life quickly. There is no other way.;NM45AABAST01044_.mp3
I could never kill you, Bastila.;
What other choice do you have? I have fallen to the dark side, I am the apprentice to the Dark Lord himself. You cannot let me live.;NM45AABAST01047_.mp3
You can reject the dark side, Bastila. Return to the light.;
No... I'm not strong enough. There is too much anger inside me now. Too much hatred and fear. I can no longer find peace in the Force.;NM45AABAST01049_.mp3
[Persuade] Use our bond, then. Take your strength from me.;
[Success] You... always had more strength than I did. I told you that. I felt so... helpless before your destiny.;NM45AABAST01051_.mp3
You were Revan and I couldn't tell you... it was agonizing! Even worse when I began to... feel closer to you. I despised myself for it.;NM45AABAST01052_.mp3
And even now I... feel your strength. It... does help me. Thank you, I think I can face the end, now. If you are the one to end it for me.;NM45AABAST01053_.mp3
[Persuade] I love you, Bastila. I can't abandon you, ever.;
[Success] You... love me? Heh. I... there was a time I yearned for and yet dreaded to hear those words. I loved you, too, but I could never... face who you were.;NM45AABAST01108_.mp3
Malak knew how I felt. Any part of the light that was within me would be extinguished when I killed you.;NM45AABAST01109_.mp3
But what good is love? It cannot save me from the sea of blackness I am drowning in. I have betrayed everything I ever believed in! How can I atone for that?;NM45AABAST01110_.mp3
Help us defeat the Sith, Bastila. This will atone for what you have done.;
Yes, I... could join you in your battle against the Dark Lord. That alone would not make up for all I have done, yet... it would be a step in the right direction.;NM45AABAST01065_.mp3
But how would you be able to trust me? How do you know I wouldn't turn on you when you faced Darth Malak? How do you know the dark side wouldn't make me betray you again?;NM45AABAST01066_.mp3
I trust you enough to leave myself open to your attack, Bastila.;
You play a dangerous game. Are you certain you wish to take this risk? I could end your life and gain Malak's favor with a single stroke of my lightsaber.;NM45AABAST01068_.mp3
You won't, Bastila. Because I love you and I believe in you.;
You are brave... and some would say foolish. But you are also right. The dark side has not wholly consumed me. I cannot raise my blade against you.;NM45AABAST01071_.mp3
You will go on to defeat Malak, of this I have little doubt. You will have gone from being the Sith Lord, himself, to the savior of our galaxy.;NM45AABAST01072_.mp3
And... and you said you loved me. This may not be the best time to say it, but...;NM45AABAST01073_.mp3
I love you, too. With all my heart.;NM45AABAST01074_.mp3
You aren't afraid to love anymore?;
After this? No, nothing could make me feel safer than to be loved by you.;NM45AABAST01076_.mp3
You should go. Malak awaits. This isn't over, yet... for any of us.;NM45AABAST01083_.mp3
I should stay here, though. If we face Malak I am afraid his dark presence will overwhelm me. It would not be wise to expose myself to such temptation.;NM45AABAST01084_.mp3
Bastila, I want you at my side when I face the Dark Lord.;
I'm sorry, but the risk is too great. I am not wholly free of the dark side's shadow. Not yet. But you are more than a match for the Dark Lord. I understand that now.;NM45AABAST01086_.mp3
You could use your Battle Meditation to aid the Republic fleet.;
Yes, that would be for the best. You don't need me to defeat Malak, anyway. Now I understand that a true Jedi is a match for any Sith. Even the Dark Lord himself.;NM45AABAST01088_.mp3
I... I must know something, first, before that happens. I must ask you something.;NM45AABAST01077_.mp3
Will there be a place for me in your future? Do you... do you love me?;NM45AABAST01078_.mp3
I do love you, Bastila.;
I love you, Bastila, but after everything that's happened...;
I see. Thank you for your honesty. It's probably for the best that it goes no further. You saved me and I will always be grateful.;NM45AABAST01082_.mp3
No. I'm sorry, Bastila, but I don't love you.;
You are brave... and foolish. The dark side has wholly consumed me, and you will suffer for failing to see that!;NM45AABAST01089_.mp3
You won't, Bastila. I know you still serve the light side.;
You're right. I suppose I can't trust you, after all.;
A wise decision. You cannot trust me, and you cannot bring yourself to execute me. I see now there is only one way this can end. The time for words is done! Defend yourself!;NM45AABAST01091_.mp3
You're right. Don't worry, you won't feel a thing.;
Do it. Quickly...;NM45AABAST01112_.mp3
[Failure] There is nothing in my heart but the blackness of the dark side! I am sick of your preaching, Revan!;NM45AABAST01063_.mp3
I ask you for an honorable death, but you are too weak to even grant me that! No more words! This must end with blood!;NM45AABAST01093_.mp3
[Persuade] Look into your heart, Bastila, and you will find the light.;
[Success] I... I know a flicker of the light still burns within me. Malak felt it too. He knew it could only be extinguished if I killed you.;NM45AABAST01061_.mp3
But what good is a single flicker of light against the sea of darkness I am drowning in? I can never atone for my betrayal.;NM45AABAST01062_.mp3
I was redeemed, Bastila. You can be, too.;
You were a special case. The Council had no other choice. They needed you alive so they could discover the location of the Star Forge. It was an act of desperation.;NM45AABAST01097_.mp3
It was my responsibility to watch over you, to make sure you did not slip back into your evil ways. I was supposed to protect you from the dark side.;NM45AABAST01098_.mp3
You did protect me, Bastila.;
But at what cost? In protecting you, I fell to the dark side myself. Is that the price of a Jedi's redemption? Must another of the Order fall to save me?;NM45AABAST01100_.mp3
I cannot allow that to happen. Please, this is too painful. Strike me down. End this now, quickly. There is no other way.;NM45AABAST01101_.mp3
You can't protect someone from the dark side. Each individual must choose their own path.;
I... I suppose you are right. Yet the path I have chosen is that of the dark side. I don't see any way I could atone for what I have done. I deserve to die.;NM45AABAST01103_.mp3
You did more than protect me, Bastila.;
It's true I possess... feelings for you. But was it only an illusion brought about by our bond? And what was the cost?;NM45AABAST01105_.mp3
Please... this is too painful. End it now, quickly. There is no other way.;NM45AABAST01106_.mp3
I was the Dark Lord, Bastila, and the Jedi Council let me live.;
[Failure!] No! That bond is what took me down this path to begin with! It poisoned me... I hated myself for loving you and now I have betrayed everything!;NM45AABAST01054_.mp3
[Persuade] Turn to the Jedi code, Bastila. It can help you.;
[Success] I doubt mere words can help me now, but to appease you I will recite them:;NM45AABAST01056_.mp3
There is no emotion: there is peace. There is no ignorance: there is knowledge. There is no passion: there is serenity. There is no chaos: there is harmony...;NM45AABAST01057_.mp3
Strange, but even now I find comfort in these words. I... suppose old habits die hard.;NM45AABAST01058_.mp3
There is no death: there is the Force. Thank you, Revan. I am ready to face my fate now.;NM45AABAST01059_.mp3
[Failure] The Jedi code is nothing but words, the babblings of senile old Masters! The code cannot help me now!;NM45AABAST01092_.mp3
There's no need for me to kill you, Bastila.;
I am stronger than you could ever be, Bastila!;
You can't win, Bastila. Now you must die!;
You there! Up-worlder! Anyone using this elevator has to pay the toll!;NM04AAOUTM14000_.mp3
Yeah, this is our elevator! If you use it, you've got to give us something!;NM04AAOUTM14001_.mp3
I don't believe this planet! Even the beggars are trying to shake us down.;NM04AAOUTM14060_.mp3
Five credits! That's what it costs to use our elevator! Five credits!;NM04AAOUTM14002_.mp3
Who are you? What are you doing here in the Undercity?;
We are the Outcasts, banished and reviled by those who dwell above!;NM04AAOUTM14004_.mp3
Here in the filth and darkness we claw out a wretched existence, scavenging and begging just to survive long enough to see another wretched day.;NM04AAOUTM14005_.mp3
This is our village. We live here in the undercity. You have to pay us five credits for using our elevator.;NM04AAOUTM14006_.mp3
You poor wretches. Here's 20 credits to buy some food and clothing.;
Credits, my brother! We have credits! Now we can buy food and medicine!;NM04AAOUTM14011_.mp3
Hush, or the others will hear us! They'll want our credits! We have to hide them!;NM04AAOUTM14012_.mp3
Go on, you two! Get out of here! I'm sorry about that... those two beggars give everyone in the village a bad name! We aren't all like that, you know. Most of us are good people.;NM04AASHAL27002_.mp3
I'm sure you are, miss. It's just too bad your little welcoming committee is there to give people a bad first impression.;NM04AAOUTM14062_.mp3
My name's <FullName>. Who are you?;
My name is Shaleena... you're from the up-world, aren't you? I've... I've never seen it. I was born here in the Undercity. Is it as nice as they say up there?;NM04AASHAL27003_.mp3
The surface is a beautiful place.;
I've never been to the surface, but sometimes I think I can see it in my dreams. The sun, the sky, the stars... it all sounds so... so... so wonderful.;NM04AASHAL27005_.mp3
Gendar, the leader of our village, tells me I should spend more time trying to improve things down here and less time dreaming about something I can never have. Maybe he's right.;NM04AASHAL27006_.mp3
You probably think I'm a fool, having dreams of a place I've never even seen. But when I was little, Rukil used to tell me stories of what it was like up there.;NM04AASHAL27007_.mp3
Rukil? Who's that?;
Rukil's the oldest man in the village. The kids call him Rukil Wrinkle-Skin, but he's a kind man. He used to tell me the greatest stories when I was a little girl.;NM04AASHAL27009_.mp3
I still like to listen to his tales about the Promised Land, even though I know they're just legends. But it helps to make the Undercity seem less... less dark, somehow.;NM04AASHAL27010_.mp3
The Promised Land? What's that?;
It's... it's just a story to make little children smile. Rukil believes in it, though. Sometimes I can almost believe it myself, but then I look around and I see the ugly truth.;NM04AASHAL27012_.mp3
*sigh* I guess we have to make the best of what we have though. If you really want to learn more about the promised land you should speak to Rukil.;NM04AASHAL27013_.mp3
Where can I find Rukil?;
He's wandering around somewhere on the south side of the village. He doesn't move too far... it's hard on his bones. He's over 100 years old!;NM04AASHAL27019_.mp3
The children laugh at him and people think he's crazy because of his stories about the Promised Land, but he's really just a kind old man.;NM04AASHAL27020_.mp3
I want to ask you some questions.;
You'd probably get more information from Gendar, the village leader. Or maybe Rukil. But I'll tell you whatever I can.;NM04AASHAL27015_.mp3
Where can I find Gendar?;
He'll be somewhere in the village. I couldn't say where for sure. He's always busy, doing whatever he can to make the lives of the other villagers easier.;NM04AASHAL27017_.mp3
I'll be going now.;
Oh... okay. Well, if you ever need anything, or if you just feel like talking, come back and see me. I hardly ever get a chance to speak to someone from the up-world.;NM04AASHAL27042_.mp3
Do you know anything about the escape pods that crashed into the Undercity?;
I don't know anything about that, but maybe Gendar could help you. Sorry... is there anything else you need?;NM04AASHAL27022_.mp3
Have any other up-worlders come through here recently?;
There were quite a few people from the surface marching through the village, but none of them bothered to talk to me. Gendar might know more about them.;NM04AASHAL27024_.mp3
Tell me about this village.;
Well, I was born here for starters. My parents were Outcasts, banished to the Undercity for some crime or other... they never really liked to talk about it.;NM04AASHAL27026_.mp3
Everyone here is an Outcast... or the descendant of one. It's tough down here, but we survive. I guess it's easier for me, since I've never known anything different.;NM04AASHAL27027_.mp3
"Some of the people have given up all hope; they've become bitter and depressed. But most of us are good people... despite what our ancestors may have done.";NM04AASHAL27028_.mp3
Gendar could probably tell you more. Or maybe Rukil. You could talk to them if you want.;NM04AASHAL27029_.mp3
I don't have time for this.;
Of course... I'm sorry. You're probably here for something important, right? You probably want to speak to Gendar. He's the leader of our village.;NM04AASHAL27035_.mp3
But if you... if you have time later, maybe you could come back and speak to me again. I don't get much chance to talk with people from the surface.;NM04AASHAL27036_.mp3
It's nothing special.;
Not to you, I suppose. But you're probably used to its beauty by now.;NM04AASHAL27031_.mp3
It's better than this festering slime pit.;
I... I suppose our world doesn't look like much to you. It's dark and cold and lonely down here - but this is the only world I've ever known.;NM04AASHAL27033_.mp3
What do you want?;
Okay, here's five credits.;
I don't have any credits on me.;
We are not fools... we know all who come from the up-world are rich! Please, is 5 credits so much to ask?;NM04AAOUTM14009_.mp3
Please, have pity on us. We have nothing. All we ask is a few credits to make our lives easier.;NM04AAOUTM14014_.mp3
Get out of here you filthy beggars, or I'll use my blaster to end your suffering permanently!;
Run, my brother! Flee this one's wrath!;NM04AAOUTM14019_.mp3
Forget it! You get nothing from me!;
Have you no heart? Have you no compassion?;NM04AAOUTM14016_.mp3
Come, my brother - let us go. We will get nothing from this selfish up-worlder!;NM04AAOUTM14017_.mp3
This is a public elevator! I'm not paying any toll!;
So... is there news? Is the passageway clear?;NM34AATHAL03000_.mp3
No. But thanks for letting your guard down.;
You... you tricked us! You just wanted to get closer!! Quick, get them!!;NM34AATHAL03002_.mp3
Not yet, but I'm working on it.;
Alright. We'll keep waiting, then. Watch out for that beast... it's dangerous.;NM34AATHAL03004_.mp3
It's clear. You're free to go.;
It... it's clear? We can go?;NM34AATHAL03006_.mp3
Thank you. This... I wasn't expecting help from anyone in the academy. I guess we aren't the only ones who don't... agree with everything.;NM34AATHAL03007_.mp3
Maybe... maybe the Jedi will accept us. I've seen how evil the dark side is. Maybe I could try.;NM34AATHAL03008_.mp3
At any rate, thank you again. You've saved our lives.;NM34AATHAL03009_.mp3
Hold it right there, whoever you are! We... we're not going back to the academy! We'll kill you rather than go back!;NM34AATHAL03010_.mp3
Go back? What are you talking about?;
You mean you aren't here to kill us or bring us back? I find that hard to believe. The only way into these caves is through the academy. You must be a Sith.;NM34AATHAL03012_.mp3
So what is it, then? If you're not here to kill us or bring us back, why are you here? Speak up!;NM34AATHAL03013_.mp3
Okay, you got me. I'm here to kill you after all.;
Open fire! Get them! Get them!!;NM34AATHAL03040_.mp3
Slow down and tell me what you're doing here.;
So you don't know about us? I don't know if I'm ready to believe that or not, but I'll play along for the moment.;NM34AATHAL03016_.mp3
My name is Thalia May. The others here and myself refused to murder a bunch of people on a whim from Master Uthar... so here we are.;NM34AATHAL03017_.mp3
We thought that becoming a Sith was what we always wanted, but that wasn't true. Now all we want is to get out of here. Fair enough?;NM34AATHAL03018_.mp3
Maybe I can help you.;
Help us? Why should I believe that this isn't some kind of trick?;NM34AATHAL03020_.mp3
[Persuade] Give me a chance and I'll prove it to you.;
[Success] You want to help us? Alright... I can think of a way. We're stuck in these caves, obviously, or we would have been long gone.;NM34AATHAL03022_.mp3
There's a passage to the surface through the caves, but we're blocked by some kind of large creature. We can't defeat it.;NM34AATHAL03024_.mp3
If you could kill it and clear up the passageway for us, we could escape. That would be help enough. Can you do that?;NM34AATHAL03025_.mp3
I can try.;
